ICAO;IATA;AirportName;City;Country;Latitude;Longitude;Altitude
LFCT;N/A;;THOUARS;FRANCE;0;0;0
LFCU;N/A;THALAMY;USSEL;FRANCE;45.53472222;2.423888889;740.0544
LFCV;N/A;;FILLEFRANCHE-ROUERGUE;FRANCE;0;0;0
LFCW;N/A;VILLENEUVE SUR LOT;VILLENEUVE-SUR-LOT;FRANCE;44.39694444;0.758888889;57.912
LFCX;N/A;;CASTELSARRASIN;FRANCE;0;0;0
LFCY;RYN;MEDIS;ROYAN;FRANCE;45.62805556;-0.9725;21.9456
LFCZ;N/A;MIMIZAN;MIMIZAN;FRANCE;44.14611111;-1.174444444;49.9872
LFDA;N/A;AIRE SUR L ADOUR;AIRE-SUR-L'ADOUR;FRANCE;43.70944444;-0.245277778;78.9432
LFDB;N/A;MONTAUBAN;MONTAUBAN;FRANCE;44.02555556;1.377777778;106.9848
LFDC;N/A;;MONTENDRE;FRANCE;0;0;0
LFDE;N/A;;EGETONS;FRANCE;0;0;0
LFDF;N/A;;SAINTE-FOY-LA-GRANDE;FRANCE;0;0;0
LFDG;N/A;;GAILLAC;FRANCE;0;0;0
LFDH;N/A;LAMOTHE;AUCH;FRANCE;43.68777778;0.601666667;125.2728
LFDI;N/A;ARTIGUES DE LUSSAC;LIBOURNE;FRANCE;44.98222222;-0.134722222;47.8536
LFDJ;N/A;LES PUJOLS;PAMIERS;FRANCE;43.09055556;1.695833333;339.852
LFDK;N/A;;SOULAC-SUR-MER;FRANCE;0;0;0
LFDL;N/A;;LOUDUN;FRANCE;0;0;0
LFDM;N/A;VIRAZEIL;MARMANDE;FRANCE;44.49888889;0.200277778;32.004
LFDN;RCO;ST AGNANT;ROCHEFORT;FRANCE;45.88777778;-0.983055556;17.0688
LFDO;N/A;;BORDEAUX;FRANCE;0;0;0
LFDP;N/A;;ST.-PIERRE-D'OLERON;FRANCE;0;0;0
LFDQ;N/A;;CASTELNAU-MAGNOAC;FRANCE;0;0;0
LFDR;N/A;;LA REOLE;FRANCE;0;0;0
LFDS;N/A;;SARLAT;FRANCE;0;0;0
LFDT;N/A;;TARBES;FRANCE;0;0;0
LFDU;N/A;;LESPARRE;FRANCE;0;0;0
LFDV;N/A;;COUHE;FRANCE;0;0;0
LFDW;N/A;;CHAUVIGNY;FRANCE;0;0;0
LFDX;N/A;;FUMEL;FRANCE;0;0;0
LFDY;N/A;;BORDEAUX-YVRAC;FRANCE;0;0;0
LFDZ;N/A;;CONDAT-SUR-VEZERE;FRANCE;0;0;0
LFEA;N/A;;BELLE-ILE;FRANCE;0;0;0
LFEB;N/A;;DINAN;FRANCE;0;0;0
LFEC;N/A;OUESSANT;OUESSANT;FRANCE;48.46277778;-5.063888889;43.2816
LFED;N/A;PONTIVY;PONTIVY;FRANCE;48.05833333;-2.921666667;124.0536
LFEF;N/A;;AMBOISE;FRANCE;0;0;0
LFEG;N/A;;ARGENTON-SUR-CREUSE;FRANCE;0;0;0
LFEH;N/A;;AUBIGNY-SUR-NERE;FRANCE;0;0;0
LFEI;N/A;;BRIARE;FRANCE;0;0;0
LFEJ;N/A;;CHATEAUROUX;FRANCE;0;0;0
LFEK;N/A;;ISSOUDUN;FRANCE;0;0;0
LFEL;N/A;;LE BLANC;FRANCE;0;0;0
LFEM;N/A;;MONTARGIS;FRANCE;0;0;0
LFEN;N/A;;TOURS;FRANCE;0;0;0
LFEO;N/A;;ST.-MALO;FRANCE;0;0;0
LFEP;N/A;;POUILLY-MACONGE;FRANCE;0;0;0
LFEQ;N/A;;QUIBERON;FRANCE;0;0;0
LFER;N/A;;REDON;FRANCE;0;0;0
LFES;N/A;SCAER;GUISCRIFF-SCAER;FRANCE;48.0525;-3.664444444;175.26
LFET;N/A;;TIL-CHATEL;FRANCE;0;0;0
LFEU;N/A;;BAR-LE-DUC;FRANCE;0;0;0
LFEV;N/A;;GRAY-SAINT-ADRIEN;FRANCE;0;0;0
LFEW;N/A;;SAULIEU;FRANCE;0;0;0
LFEX;N/A;;NANCY;FRANCE;0;0;0
LFEY;N/A;ILE D YEU;ILE D'YEU;FRANCE;46.71861111;-2.391111111;24.0792
LFEZ;N/A;;NANCY;FRANCE;0;0;0
LFFB;N/A;;BUNO-BONNEVAUX;FRANCE;0;0;0
LFFC;N/A;;MANTES-CHERENCE;FRANCE;0;0;0
LFFD;N/A;;ST.-ANDRE-DE-L'EURE;FRANCE;0;0;0
LFFE;N/A;;ENGHIEN-MOISSELLES;FRANCE;0;0;0
LFFG;N/A;;LA FERTE-GAUCHER;FRANCE;0;0;0
LFFH;N/A;;CHATEAU-THIERRY-BELLEA;FRANCE;0;0;0
LFFI;N/A;ANCENIS;ANCENIS;FRANCE;47.40805556;-1.1775;3.3528
LFFJ;N/A;;JOINVILLE-MUSSEY;FRANCE;0;0;0
LFFK;N/A;;FONTENAY-LE-CONTE;FRANCE;0;0;0
LFFL;N/A;;BAILLEAU-ARMENONVILLE;FRANCE;0;0;0
LFFM;N/A;;LA MOTTE-BEUVRON;FRANCE;0;0;0
LFFN;N/A;BRIENNE LE CHATEAU;BRIENNE-LE CHATEAU;FRANCE;48.42972222;4.481111111;116.1288
LFFP;N/A;;PITHIVIERS;FRANCE;0;0;0
LFFQ;N/A;;LA FERTE-ALAIS;FRANCE;0;0;0
LFFR;N/A;;BAR-SUR-SEINE;FRANCE;0;0;0
LFFS;N/A;;SUIPPES;FRANCE;0;0;0
LFFT;N/A;;NEUFCHATEAU-ROUCAUX;FRANCE;0;0;0
LFFU;N/A;;CHATEAUNEUF-SUR-CHER;FRANCE;0;0;0
LFFV;N/A;;VIERZON-MEREAU;FRANCE;0;0;0
LFFW;N/A;;MONTAIGU;FRANCE;0;0;0
LFFX;N/A;;TOURNUS-CUISERY;FRANCE;0;0;0
LFFY;N/A;;ETREPAGNY;FRANCE;0;0;0
LFFZ;N/A;;SEZANNE;FRANCE;0;0;0
LFGA;CMR;HOUSSEN;COLMAR;FRANCE;48.10972222;7.358888889;191.4144
LFGC;N/A;;STRASSBOURG;FRANCE;0;0;0
LFGD;N/A;;ARBOIS;FRANCE;0;0;0
LFGE;N/A;;AVALLON;FRANCE;0;0;0
LFGF;N/A;CHALLANGES;BEAUNE;FRANCE;47.00583333;4.893333333;199.0344
LFGH;N/A;;COSNE-SUR-LOIRE;FRANCE;0;0;0
LFGI;N/A;;DIJON;FRANCE;0;0;0
LFGJ;DLE;TAVAUX;DOLE;FRANCE;47.03888889;5.427222222;196.596
LFGK;N/A;JOIGNY;JOIGNY;FRANCE;47.99222222;3.392222222;221.8944
LFGL;N/A;;LONS LE SAUNIER;FRANCE;0;0;0
LFGM;N/A;;MONTCEAU LES MINES;FRANCE;0;0;0
LFGN;N/A;;PARAY LE MONDIAL;FRANCE;0;0;0
LFGO;N/A;;PONT-SUR-YONNE;FRANCE;0;0;0
LFGP;N/A;;ST.-FLORENTIN;FRANCE;0;0;0
LFGQ;N/A;;SEMUR-EN-AUXOIS;FRANCE;0;0;0
LFGR;N/A;;DONCOURT-LES-CONFLANS;FRANCE;0;0;0
LFGS;N/A;;LONGUYON;FRANCE;0;0;0
LFGT;N/A;;SARREBOURG;FRANCE;0;0;0
LFGU;N/A;;SARREGUEMINES;FRANCE;0;0;0
LFGV;N/A;;THIONVILLE;FRANCE;0;0;0
LFGW;N/A;LE ROZELIER;VERDUN;FRANCE;49.12222222;5.468888889;374.904
LFGX;N/A;;CHAMPAGNOLE;FRANCE;0;0;0
LFGY;N/A;;ST. DIE;FRANCE;0;0;0
LFGZ;N/A;;NUITS-SAINT-GEORGES;FRANCE;0;0;0
LFHA;N/A;;ISSOIRE;FRANCE;0;0;0
LFHB;N/A;;MOULINS;FRANCE;0;0;0
LFHC;N/A;;PEROUGES;FRANCE;0;0;0
LFHD;N/A;;PIERRELATTE;FRANCE;0;0;0
LFHE;N/A;;ROMANS;FRANCE;0;0;0
LFHF;N/A;;RUOMS;FRANCE;0;0;0
LFHG;N/A;;ST.-CHAMOND;FRANCE;0;0;0
LFHH;N/A;;VIENNE;FRANCE;0;0;0
LFHI;N/A;;MORESTEL;FRANCE;0;0;0
LFHJ;N/A;;LYON;FRANCE;0;0;0
LFHK;N/A;;CAMP DE CANHUERS;FRANCE;0;0;0
LFHL;N/A;;LANGOGNE;FRANCE;0;0;0
LFHM;N/A;;MEGEVE;FRANCE;0;0;0
LFHN;N/A;;BELLEGARDE;FRANCE;0;0;0
LFHO;OBS;VALS LANAS;AUBENAS-VALS-LANAS;FRANCE;44.54416667;4.371944444;281.3304
LFHP;LPY;LOUDES;LE PUY;FRANCE;45.07944444;3.764722222;832.4088
LFHQ;N/A;COLTINES;ST.-FLOUR;FRANCE;45.07638889;2.993611111;979.0176
LFHR;N/A;;BRIOUDE-BEAUMONT;FRANCE;0;0;0
LFHS;XBK;CEYZERIAT;BOURG;FRANCE;46.20083333;5.291944444;261.2136
LFHT;N/A;;AMBERT-LE-POYET;FRANCE;0;0;0
LFHU;N/A;;L'ALPE D'HUEZ;FRANCE;0;0;0
LFHV;XVF;TARARE;VILEFRANCE;FRANCE;45.91638889;4.640555556;327.9648
LFHW;N/A;;BELLEVILLE-VILLIE;FRANCE;0;0;0
LFHX;N/A;;LAPALISSE;FRANCE;0;0;0
LFHY;XMU;MONTBEUGNY;MOULINS;FRANCE;46.53444444;3.423611111;278.892
LFHZ;N/A;;SALLANCHES-MONT-BLANC;FRANCE;0;0;0
LFIB;N/A;;BELVES-SAINT-PARDOUX;FRANCE;0;0;0
LFIC;N/A;;CROSS CORSEN;FRANCE;0;0;0
LFIE;N/A;;CROSS ETEL;FRANCE;0;0;0
LFIF;N/A;;ST.-AFRIQUE-BELMONT;FRANCE;0;0;0
LFIG;N/A;CASSAGNES BEGONHES;CASSAGNES-BEGHONES;FRANCE;44.1775;2.515;616.9152
LFIJ;N/A;;CROSS JOBOURG;FRANCE;0;0;0
LFIK;N/A;;RIBERAC-SAINT-AULAYE;FRANCE;0;0;0
LFIL;N/A;;RION-DES-LANDES;FRANCE;0;0;0
LFIM;N/A;;ST.-GAUDENS;FRANCE;0;0;0
LFIN;N/A;;CROSS GRIS-NEZ;FRANCE;0;0;0
LFIO;N/A;MONTAUDRAN;TOULOUSE;FRANCE;43.56888889;1.480833333;146.9136
LFIP;N/A;;PEYRESOURDE-BALESTAS;FRANCE;0;0;0
LFIR;N/A;;REVEL-MONTGEY;FRANCE;0;0;0
LFIT;N/A;;TOULOUSE;FRANCE;0;0;0
LFIV;N/A;;VENDAYS-MONTALIVET;FRANCE;0;0;0
LFIX;N/A;;ITXASSOU;FRANCE;0;0;0
LFIY;N/A;;ST.-JEAN-D'-ANGELY;FRANCE;0;0;0
LFJG;N/A;;CROSS LA GARDE;FRANCE;0;0;0
LFJL;ETZ;METZ NANCY LORRAINE;METZ;FRANCE;48.98222222;6.253611111;265.176
LFJM;N/A;;CHAILLEY;FRANCE;0;0;0
LFJS;N/A;;SOISSONS-CHOURMELLES;FRANCE;0;0;0
LFKA;N/A;;ALBERTVILLE;FRANCE;0;0;0
LFKB;BIA;PORETTA;BASTIA;CORSE ISL.;42.55388889;9.483333333;7.9248
LFKC;CLY;SAINT CATHERINE;CALVI;CORSE ISL.;42.53055556;8.793055556;63.7032
LFKD;N/A;;SOLLIERES-SARDIERES;FRANCE;0;0;0
LFKE;N/A;;ST.-JEAN-EN-ROYANS;FRANCE;0;0;0
LFKF;FSC;SUD CORSE;FIGARI;CORSE ISL.;41.50055556;9.097777778;26.5176
LFKG;N/A;;CHISONACCIA-ALZITONE;FRANCE;0;0;0
LFKH;N/A;;ST.-JEAN-D'-AVELANNE;FRANCE;0;0;0
LFKJ;AJA;CAMPO DELL ORO;AJACCIO;CORSE ISL.;41.92361111;8.802777778;5.4864
LFKL;N/A;;LYON;FRANCE;0;0;0
LFKM;N/A;;ST.-GALMIER;FRANCE;0;0;0
LFKO;N/A;PROPRIANO;PROPRIANO;FRANCE;41.66305556;8.890277778;3.9624
LFKP;N/A;;TOUR DU PIN CESSIEU;FRANCE;0;0;0
LFKS;SOZ;SOLENZARA;SOLENZARA;CORSE ISL.;41.92416667;9.405833333;8.5344
LFKT;N/A;CORTE;CORTE;FRANCE;42.29361111;9.193055556;345.0336
LFKX;N/A;;MERIBEL;FRANCE;0;0;0
LFKY;N/A;;BELLEY-PEYRIEU;FRANCE;0;0;0
LFKZ;N/A;;ST.-CLAUDE-PRATZ;FRANCE;0;0;0
LFLA;AUF;BRANCHES;AUXERRE;FRANCE;47.85;3.496944444;159.4104
LFLB;CMF;AIX LES BAINS;CHAMBERY;FRANCE;45.63777778;5.88;237.4392
LFLC;CFE;AUVERGNE;CLERMONT FERRAND;FRANCE;45.78638889;3.169166667;332.232
LFLD;BOU;BOURGES;BOURGES;FRANCE;47.05805556;2.370277778;161.2392
LFLE;N/A;CHALLES LES EAUX;CHAMBERY;FRANCE;45.56083333;5.975555556;299.9232
LFLG;N/A;;GRENOBLE;FRANCE;0;0;0
LFLH;XCD;CHAMPFORGEUIL;CHALON;FRANCE;46.82583333;4.8175;189.8904
LFLI;QNJ;ANNEMASSE;ANNEMASSE;FRANCE;46.19194444;6.268333333;492.8616
LFLJ;CVF;;COURCHEVEL;FRANCE;0;0;0
LFLK;N/A;;OYONNAUX;FRANCE;0;0;0
LFLL;LYS;SAINT EXUPERY;LYON;FRANCE;45.72611111;5.090833333;250.2408
LFLM;QNX;CHARNAY;MACON;FRANCE;46.295;4.795555556;221.8944
LFLN;N/A;SAINT YAN;ST.-YAN;FRANCE;46.4125;4.013055556;242.6208
LFLO;RNE;RENAISON;ROANNE;FRANCE;46.05833333;4.001388889;337.1088
LFLP;NCY;MEYTHET;ANNECY;FRANCE;45.92916667;6.098611111;463.6008
LFLQ;N/A;;MONTELIMAR;FRANCE;0;0;0
LFLR;N/A;;ST.-RAMBERT-D'ALBON;FRANCE;0;0;0
LFLS;GNB;SAINT GEOIRS;GRENOBLE;FRANCE;45.36277778;5.329166667;396.8496
LFLT;MCU;DOMERAT;MONTLUCON;FRANCE;46.3525;2.570277778;235.0008
LFLU;VAF;CHABEUIL;VALENCE;FRANCE;44.92138889;4.969722222;160.02
LFLV;VHY;CHARMEIL;VICHY;FRANCE;46.16944444;3.403611111;249.0216
LFLW;AUR;AURILLAC;AURILLAC;FRANCE;44.89138889;2.421944444;638.8608
LFLX;CHR;DEOLS;CHATEAUROUX;FRANCE;46.86194444;1.730555556;161.544
LFLY;LYN;BRON;LYON;FRANCE;45.72805556;4.944722222;200.8632
LFLZ;N/A;;FEURS;FRANCE;0;0;0
LFMA;QXB;AIX LES MILLES;AIX-LES-MILLES;FRANCE;43.50527778;5.367777778;111.8616
LFMC;N/A;LE CANNET;LE LUC;FRANCE;43.38444444;6.386944444;80.772
LFMD;CEQ;MANDELIEU;CANNES;FRANCE;43.54194444;6.953333333;3.9624
LFME;N/A;;NIMES;FRANCE;0;0;0
LFMF;N/A;;FAYENCE;FRANCE;0;0;0
LFMG;N/A;;LA MONTAGNE;FRANCE;0;0;0
LFMH;EBU;BOUTHEON;ST.-ETIENNE;FRANCE;45.54027778;4.296388889;403.86
LFMI;N/A;LE TUBE;ISTRES;FRANCE;43.5225;4.923611111;24.9936
LFMK;CCF;SALVAZA;CARCASSONNE;FRANCE;43.21583333;2.306111111;131.9784
LFML;MRS;PROVENCE;MARSEILLE;FRANCE;43.43555556;5.213611111;22.5552
LFMN;NCE;COTE D AZUR;NICE;FRANCE;43.66055556;7.2175;3.9624
LFMO;N/A;CARITAT;ORANGE;FRANCE;44.14027778;4.866666667;60.0456
LFMP;PGF;RIVESALTES;PERPIGNAN;FRANCE;42.74027778;2.870555556;43.8912
LFMQ;CTT;LE CASTELLET;LE CASTELLET;FRANCE;43.2525;5.785;423.9768
LFMR;N/A;;BARCELONNETE;FRANCE;0;0;0
LFMS;N/A;DEAUX;ALES;FRANCE;44.06944444;4.141944444;203.9112
LFMT;MPL;MEDITERRANEE;MONTPELLIER;FRANCE;43.57611111;3.962777778;5.1816
LFMU;BZR;VIAS;BEZIERS;FRANCE;43.32388889;3.355555556;17.0688
LFMV;AVN;CAUMONT;AVIGNON;FRANCE;43.90722222;4.901666667;37.7952
LFMW;N/A;;CASTELNAUDARY;FRANCE;0;0;0
LFMX;N/A;;CHATEAU-ARNOUX;FRANCE;0;0;0
LFMY;N/A;SALON;SALON;FRANCE;43.60638889;5.109166667;59.436
LFMZ;N/A;LEZIGNAN CORBIERES;LEZIGNAN-CORBIERES;FRANCE;43.17583333;2.734166667;63.0936
LFNA;N/A;;GAP;FRANCE;0;0;0
LFNB;MEN;BRENOUX;MENDE;FRANCE;44.50194444;3.532777778;1024.7376
LFNC;N/A;;MONT-DAUPHIN;FRANCE;0;0;0
LFND;N/A;;PONT-SAINT-ESPRIT;FRANCE;0;0;0
LFNE;N/A;;SALON;FRANCE;0;0;0
LFNF;N/A;;VINON;FRANCE;0;0;0
LFNG;N/A;;MONTPELLIER;FRANCE;0;0;0
LFNH;N/A;CARPENTRAS;CARPENTRAS;FRANCE;44.02972222;5.078055556;120.0912
LFNJ;N/A;;ASPRES-SUR-BUECH;FRANCE;0;0;0
LFNK;N/A;;VARS;FRANCE;0;0;0
LFNL;N/A;;ST.-MARTIN-DE-LONDRES;FRANCE;0;0;0
LFNM;N/A;;LA MOLE;FRANCE;0;0;0
LFNO;N/A;;FLORAC-SAINTE-ENIMIE;FRANCE;0;0;0
LFNP;N/A;;PEZENAS-NIZAS;FRANCE;0;0;0
LFNQ;N/A;;MONT-LOUIS-LA-QUILLANE;FRANCE;0;0;0
LFNR;N/A;;BERRE-LA-FARE;FRANCE;0;0;0
LFNS;N/A;;SISTERON-THEZE;FRANCE;0;0;0
LFNT;N/A;;AVIGNON;FRANCE;0;0;0
LFNU;N/A;;UZES;FRANCE;0;0;0
LFNV;N/A;;VALREAS-VISAN;FRANCE;0;0;0
LFNW;N/A;;PUIVERT;FRANCE;0;0;0
LFNX;N/A;;BEDARIEUX-SUR-ORB;FRANCE;0;0;0
LFNY;N/A;;ST.-ETIENNE-EN-DEVOLUY;FRANCE;0;0;0
LFNZ;N/A;;LE MAZET-DE-ROMANIN;FRANCE;0;0;0
LFOA;N/A;AVORD;AVORD;FRANCE;47.05333333;2.6325;176.784
LFOB;BVA;TILLE;BEAUVAIS;FRANCE;49.45444444;2.112777778;109.4232
LFOC;N/A;CHATEAUDUN;CHATEAUDUN;FRANCE;48.05805556;1.376388889;131.6736
LFOD;N/A;ST FLORENT;SAUMUR;FRANCE;47.25666667;-0.115;81.9912
LFOE;N/A;FAUVILLE;EVREUX;FRANCE;49.02861111;1.219722222;141.4272
LFOF;N/A;;ALENCON;FRANCE;0;0;0
LFOG;N/A;;FLERS;FRANCE;0;0;0
LFOH;LEH;OCTEVILLE;LE HAVRE;FRANCE;49.53388889;0.088055556;95.4024
LFOI;N/A;ABBEVILLE;ABBEVILLE;FRANCE;50.14333333;1.831666667;67.056
LFOJ;ORE;BRICY;ORLEANS;FRANCE;47.98777778;1.760555556;125.5776
LFOK;N/A;VATRY;CHALONS;FRANCE;48.77583333;4.184444444;178.9176
LFOL;N/A;;L'AIGLE;FRANCE;0;0;0
LFOM;N/A;;LESSAY;FRANCE;0;0;0
LFON;N/A;;DREUX;FRANCE;0;0;0
LFOO;N/A;;BLOIS;FRANCE;0;0;0
LFOP;URO;VALLEE DE SEINE;ROUEN;FRANCE;49.38416667;1.174722222;156.0576
LFOR;N/A;;CHARTRES;FRANCE;0;0;0
LFOS;N/A;;ST.-VALERY;FRANCE;0;0;0
LFOT;TUF;VAL DE LOIRE;TOURS;FRANCE;47.43222222;0.7275;108.8136
LFOU;CET;LE PONTREAU;CHOLET;FRANCE;47.08194444;-0.876944444;135.0264
LFOV;LVA;ENTRAMMES;LAVAL;FRANCE;48.03111111;-0.742777778;99.9744
LFOW;N/A;;ST.-QUENTIN;FRANCE;0;0;0
LFOX;N/A;;ETAMPES;FRANCE;0;0;0
LFOY;N/A;;LE HAVRE;FRANCE;0;0;0
LFOZ;N/A;ST DENIS DE L HOTEL;ORLEANS;FRANCE;47.89694444;2.163333333;120.7008
LFPA;N/A;;PERSAN-BEAUMONT;FRANCE;0;0;0
LFPB;LBG;LE BOURGET;PARIS;FRANCE;48.96944444;2.441388889;66.4464
LFPC;CSF;CREIL;CREIL;FRANCE;49.25333333;2.518888889;88.6968
LFPD;N/A;;BERNAY;FRANCE;0;0;0
LFPE;N/A;;MEAUX;FRANCE;0;0;0
LFPF;N/A;;BEYNES;FRANCE;0;0;0
LFPG;CDG;CHARLES DE GAULLE;PARIS;FRANCE;49.01277778;2.55;119.4816
LFPH;N/A;;CHELLES;FRANCE;0;0;0
LFPI;JDP;;PARIS;FRANCE;0;0;0
LFPJ;N/A;;TAVERNY;FRANCE;0;0;0
LFPK;N/A;VOISINS;COULOMMIERS;FRANCE;48.8375;3.016111111;142.9512
LFPL;N/A;;LOGNES;FRANCE;0;0;0
LFPM;N/A;VILLAROCHE;MELUN;FRANCE;48.60472222;2.671111111;92.0496
LFPN;TNF;TOUSSUS LE NOBLE;TOUSSOUS-LE-NOBLE;FRANCE;48.75166667;2.106111111;163.9824
LFPO;ORY;ORLY;PARIS;FRANCE;48.72527778;2.359444444;88.6968
LFPP;N/A;;LE PLESSIS-BELLEVILLE;FRANCE;0;0;0
LFPQ;N/A;;FONTENAY-TRESIGNY;FRANCE;0;0;0
LFPR;N/A;;GUAYANCOURT;FRANCE;0;0;0
LFPT;POX;CORMEILLES EN VEXIN;PONTOISE;FRANCE;49.09638889;2.040833333;99.3648
LFPU;N/A;;MORET;FRANCE;0;0;0
LFPV;N/A;VELIZY;VILLACOUBLAY;FRANCE;48.77416667;2.201388889;178.0032
LFPX;N/A;;CHAVENAY;FRANCE;0;0;0
LFPY;N/A;BRETIGNY SUR ORGE;BRETIGNY-SUR-ORGE;FRANCE;48.59666667;2.331388889;82.296
LFPZ;N/A;;ST.-CYR-L'ECOLE;FRANCE;0;0;0
LFQA;N/A;PRUNAY;REIMS;FRANCE;49.20777778;4.156666667;95.4024
LFQB;QYR;BARBEREY;TROYES;FRANCE;48.32277778;4.017777778;118.2624
LFQC;N/A;CROISMARE;LUNEVILLE;FRANCE;48.59722222;6.544722222;242.0112
LFQD;N/A;;ARRAS/ROCLINCOURT;FRANCE;0;0;0
LFQE;N/A;ROUVRES;ETAIN;FRANCE;49.22666667;5.671944444;234.0864
LFQF;N/A;BELLEVUE;AUTUN;FRANCE;46.96638889;4.260277778;303.8856
LFQG;NVS;FOURCHAMBAULT;NEVERS;FRANCE;47.00111111;3.114444444;183.4896
LFQH;N/A;;CHATILLON-SUR-SEINE;FRANCE;0;0;0
LFQI;N/A;EPINOY;CAMBRAI;FRANCE;50.22166667;3.154166667;78.0288
LFQJ;N/A;ELESMES;MAUBEUGE;FRANCE;50.31027778;4.033055556;136.8552
LFQK;N/A;;CHALONS;FRANCE;0;0;0
LFQL;N/A;;LENS;FRANCE;0;0;0
LFQM;N/A;LA VEZE;BESANCON-LA-VEZE;FRANCE;47.20833333;6.083055556;387.4008
LFQN;N/A;;ST.-OMER;FRANCE;0;0;0
LFQO;N/A;;LILLE;FRANCE;0;0;0
LFQP;N/A;BOURSCHEID;PHALSBOURG;FRANCE;48.76611111;7.200277778;309.9816
LFQQ;LIL;LESQUIN;LILLE;FRANCE;50.56166667;3.089444444;47.8536
LFQR;N/A;;ROMILLY-SUR-SEINE;FRANCE;0;0;0
LFQS;N/A;;VITRY-EN-ARTOIS;FRANCE;0;0;0
LFQT;N/A;CALONNE;MERVILLE;FRANCE;50.61833333;2.642222222;18.5928
LFQU;N/A;;SARRE-UNION;FRANCE;0;0;0
LFQV;N/A;CHARLEVILLE MEZIERES;CHARLEVILLE;FRANCE;49.78388889;4.646944444;149.0472
LFQW;N/A;FROTEY;VESOUL-FROTEY;FRANCE;47.6375;6.203888889;380.6952
LFQX;N/A;;JUVCANCOURT;FRANCE;0;0;0
LFQY;N/A;;SAVERNE;FRANCE;0;0;0
LFQZ;N/A;;DIEUZE-GUEBLANGE;FRANCE;0;0;0
LFRA;N/A;AVRILLE;ANGERS;FRANCE;47.49722222;-0.5725;56.9976
LFRB;BES;GUIPAVAS;BREST;FRANCE;48.44777778;-4.418333333;99.06
LFRC;CER;MAUPERTUS;CHERBOURG;FRANCE;49.65;-1.470277778;139.9032
LFRD;DNR;PLEURTUIT;DINARD;FRANCE;48.58777778;-2.08;66.1416
LFRE;N/A;ESCOUBLAC;LA BAULE;FRANCE;47.28944444;-2.346388889;32.004
LFRF;N/A;GRANVILLE;GRANVILLE;FRANCE;48.88305556;-1.564166667;13.716
LFRG;DOL;ST GATIEN;DEAUVILLE;FRANCE;49.36527778;0.154166667;145.9992
LFRH;LRT;LANN BIHOUE;LORIENT;FRANCE;47.76055556;-3.44;51.5112
LFRI;EDM;LES AJONCS;LA ROCHE-SUR-YON;FRANCE;46.70194444;-1.378611111;91.1352
LFRJ;N/A;LANDIVISIAU;LANDIVISIAU;FRANCE;48.53;-4.151388889;106.0704
LFRK;CFR;CARPIQUET;CAEN;FRANCE;49.17333333;-0.45;78.0288
LFRL;N/A;POULMIC;LANVEDOC;FRANCE;48.28166667;-4.445;87.4776
LFRM;LME;ARNAGE;LE MANS;FRANCE;47.94861111;0.201666667;59.1312
LFRN;RNS;ST JACQUES;RENNES;FRANCE;48.06944444;-1.734722222;37.7952
LFRO;LAI;LANNION;LANNION;FRANCE;48.75416667;-3.471388889;88.392
LFRP;N/A;;PLOERMEL-LOYAT;FRANCE;0;0;0
LFRQ;UIP;PLUGUFFAN;QUIMPER;FRANCE;47.97472222;-4.167777778;90.5256
LFRS;NTE;NANTES ATLANTIQUE;NANTES;FRANCE;47.15305556;-1.610555556;27.432
LFRT;SBK;ARMOR;ST.-BRIEUC ARMOR;FRANCE;48.53777778;-2.854444444;138.0744
LFRU;MXN;PLOUJEAN;MORLAIX;FRANCE;48.60305556;-3.815555556;82.9056
LFRV;VNE;MEUCON;VANNES;FRANCE;47.72305556;-2.718333333;134.112
LFRW;N/A;;AVRANCHES;FRANCE;0;0;0
LFRY;N/A;;ROMORANTIN;FRANCE;0;0;0
LFRZ;SNR;MONTOIR;ST.-NAZAIRE;FRANCE;47.31194444;-2.149166667;3.9624
LFSA;N/A;;BESANCON;FRANCE;0;0;0
LFSB;MLH;BALE MULHOUSE;MULHOUSE;FRANCE;47.58944444;7.529722222;269.748
LFSC;N/A;MEYENHEIM;COLMAR;FRANCE;47.92194444;7.399444444;211.2264
LFSD;DIJ;LONGVIC;DIJON;FRANCE;47.26888889;5.09;221.2848
LFSE;N/A;;EPINAL;FRANCE;0;0;0
LFSF;MZM;FRESCATY;METZ;FRANCE;49.07166667;6.131666667;191.7192
LFSG;EPL;MIRECOURT;EPINAL;FRANCE;48.32472222;6.069722222;330.4032
LFSH;N/A;HAGUENAU;HAGUENAU;FRANCE;48.79333333;7.816111111;149.9616
LFSI;N/A;ROBINSON;ST.-DIZIER;FRANCE;48.63583333;4.899166667;139.5984
LFSJ;N/A;;SEDAN;FRANCE;0;0;0
LFSK;N/A;;VITRY-LE-FRANCOIS;FRANCE;0;0;0
LFSL;N/A;ROSIERES;TOUL;FRANCE;48.78;5.979722222;285.2928
LFSM;N/A;COURCELLES;MONTBELIARD;FRANCE;47.48694444;6.7925;316.0776
LFSN;ENC;ESSEY;NANCY;FRANCE;48.69194444;6.230277778;228.9048
LFSO;N/A;OCHEY;NANCY;FRANCE;48.58305556;5.955;337.1088
LFSP;N/A;PONTARLIER;PONTARLIER;FRANCE;46.90444444;6.326944444;816.864
LFSQ;BOR;;BELFORT;FRANCE;0;0;0
LFSR;RHE;CHAMPAGNE;REIMS;FRANCE;49.31;4.05;95.7072
